DisplayName,ServicePrincipalType,CreatedDateTime,AccountEnabled,Id
Skype for Business Management Reporting and Analytics,Application,2017-01-07T16:41:44Z,TRUE,ff011fc5-6813-4d61-855c-098c97acf9c8
Skype for Business Name Dictionary Service,Application,2017-01-07T16:41:44Z,TRUE,6d213de3-8cc9-49c8-8533-8d8541fc3a11
Microsoft SharePoint Online - SharePoint Home,Application,2017-01-07T16:41:43Z,TRUE,c4b3907f-73fa-4b02-86e6-3a6b6d269c0e
Office 365 YammerOnOls,Application,2017-01-07T16:41:43Z,TRUE,4aab1e37-f43f-4640-8c8b-4c7abfae1414
Microsoft Office Licensing Service,Application,2017-01-07T16:41:43Z,TRUE,4c6fe9ef-5125-4525-8a56-8aa9bbd7947e
O365Account,Application,2017-01-07T16:41:43Z,TRUE,55a58843-f447-44cd-84e6-0a95605fc9e2
Microsoft Teams Bots,Application,2017-01-07T16:41:43Z,TRUE,65ce95a5-5001-4377-8137-f2cdafe3355d
SharePoint Notification Service,Application,2017-01-07T16:41:43Z,TRUE,072182d1-2bf6-440e-8217-95ad65a08354
Microsoft Teams Settings Store,Application,2017-01-07T16:41:43Z,TRUE,d347bdfc-f4e1-4971-8e0f-88a103570a5f
Office Shredding Service,Application,2017-01-07T16:41:43Z,TRUE,15ced674-e366-4f8f-89eb-8ba90c4d3607
OfficeGraph,Application,2017-01-07T16:41:43Z,TRUE,86fdf1b8-6dab-4900-8822-065c73d02877
OneDrive Web,Application,2017-01-07T16:41:43Z,TRUE,1098c2fd-2f9c-4ac9-89d0-24fafd9a0ec0
ProjectWorkManagement,Application,2017-01-07T16:41:43Z,TRUE,f14faab0-bcac-4551-8d75-94eda3914553
Skype Team Substrate connector,Application,2017-01-07T16:41:42Z,TRUE,235108b4-60ac-440d-8f70-a52b44b482d1
Permission Service O365,Application,2017-01-07T16:41:42Z,TRUE,bbed78f9-1969-42df-8966-9307d9b9412a
Microsoft Teams,Application,2017-01-07T16:41:42Z,TRUE,ffe56d86-a352-424a-8030-563b1a073b14
O365 UAP Processor,Application,2017-01-07T16:41:42Z,TRUE,93a13a3c-55dc-4dcb-86d0-13f17f04743c
Power Apps API,Application,2017-01-07T16:41:42Z,TRUE,7f3417a8-973b-4045-8dd2-8b810f38fd19
Microsoft Teams Services,Application,2017-01-07T16:41:42Z,TRUE,323519cd-a93a-46b0-83f4-5e8566b3225f
Microsoft Flow Portal,Application,2017-01-07T16:41:42Z,TRUE,2f22a0a3-9920-4724-8932-678155243d64
Skype Teams Firehose,Application,2017-01-07T16:41:42Z,TRUE,463bfb91-2739-4c7d-8adb-7f4b59aeba3b
Microsoft Flow Service,Application,2017-01-07T16:41:42Z,TRUE,48615229-1866-49f2-8518-4b50e2c14926
Microsoft Teams Web Client,Application,2017-01-07T16:41:42Z,TRUE,3b3266b6-3e82-40cf-889d-ebef3f18224f
ViewPoint,Application,2016-12-22T17:18:06Z,TRUE,2edefd70-10b2-4b03-864d-202f176af8a0
Microsoft Invoicing,Application,2016-12-18T16:02:38Z,TRUE,359d691c-3587-4222-8711-88f594c43853
O365 Secure Score,Application,2016-12-18T16:02:38Z,TRUE,68f9dc78-c9ec-4144-8e0b-0a1e663150a7
OneProfile Service,Application,2016-12-18T16:02:38Z,TRUE,7ffdeef1-scott50-4832-8286-f64ffd596176
ConnectionsService,Application,2016-12-18T16:02:38Z,TRUE,fe50290d-a113-4e31-8cbb-3636ac93121b
Dynamics 365 Business Central,Application,2016-12-18T16:02:38Z,TRUE,8e79ab25-b895-4b6e-8fbf-b2e311a9847c
O365 Suite UX,Application,2016-12-11T21:49:51Z,TRUE,e040fdad-694a-44a8-82d0-d7b08e56ef25
Microsoft Intune Enrollment,Application,2016-10-12T17:39:18Z,TRUE,6a407023-e3e3-4e9c-8a44-41e60789cd31
Office Agent Service,Application,2016-09-27T17:35:14Z,TRUE,e8029e3e-dcd1-4ce4-81f0-3d3b06710538
Office Personal Assistant at Work Service,Application,2016-08-19T18:27:38Z,TRUE,e7c8e0ca-2dcf-450b-8ac1-fc8506a62e31
Groupies Web Service,Application,2016-08-06T16:00:37Z,TRUE,456e3c5e-ce51-4abe-8f15-e1a970a7fc28
Device Registration Service,Application,2016-07-16T15:30:27Z,TRUE,e81d28f7-2ce6-4b48-8224-dc6d735959f5
OfficeServicesManager,Application,2016-07-02T00:16:43Z,TRUE,89bf0cbb-f4ef-4ff7-8277-ee1d30361cd9
Microsoft Customer Engagement Portal,Application,2016-06-23T14:36:14Z,TRUE,81542c1e-23e0-40fd-8026-e6c525bee85c
Protection Center,Application,2016-05-27T18:35:56Z,TRUE,124571ca-9bc0-4600-83b6-b6d8d97c55e6
Cortana Experience with O365,Application,2016-04-30T23:20:17Z,TRUE,2b86187c-43c9-4183-84cb-6233e03f2866
Compromised Account Service,Application,2016-04-13T00:53:00Z,TRUE,86dc9338-1ae5-4b30-85fc-4aede8777673
Office Store,Application,2016-04-02T23:15:28Z,TRUE,e9d64d63-e4e3-49fb-8b34-cc536a438be6
Microsoft Intune Service Discovery,Application,2016-03-24T14:34:27Z,TRUE,c8daae55-86b7-48b6-835b-4dc80a901fe4
Microsoft Intune API,Application,2016-03-24T14:34:26Z,TRUE,20783325-b50b-4bb9-8d3d-5c70cce5556c
Dynamics Lifecycle services,Application,2015-12-12T16:52:59Z,TRUE,0fe3ac39-45c3-4f18-8067-9fe045fa32f2
Office 365 Management APIs,Application,2015-07-29T19:40:53Z,TRUE,794eb0f7-b7e6-41b5-8847-ad96c51f8862
Microsoft Seller Dashboard,Application,2015-07-10T14:27:59Z,TRUE,4de464d8-ab99-4453-8867-0465e9844c14
Microsoft Azure Workflow,Application,2015-07-10T14:27:58Z,TRUE,a24f1d1d-ab3b-4c6e-8f64-906ec86e7169
Power BI Service,Application,2015-07-10T14:27:58Z,TRUE,c59c0841-f455-437d-8ae3-0a1d689tyler191c
Microsoft.Intune,Application,2015-07-03T09:29:40Z,TRUE,c8b50850-700e-4ed8-8962-e02ee7a4660f
Microsoft password reset service,Application,2015-05-21T17:05:30Z,TRUE,f7a5f972-f757-4e9a-8b07-0b61476e75b8
Microsoft Parature Dynamics CRM,Application,2014-07-07T02:15:15Z,TRUE,5f5085cd-7d36-4d22-8191-fb827b615808
Microsoft.ExtensibleRealUserMonitoring,Application,2014-07-07T02:15:15Z,TRUE,d28484c2-4e2a-4549-8fe2-5d08daf68ef6
Microsoft.SupportTicketSubmission,Application,2014-05-26T20:16:41Z,TRUE,ee870be6-0184-40e7-828c-378d79d0dcfc
Microsoft Discovery Service,Application,2014-05-01T15:52:41Z,TRUE,a8514228-40ae-4132-8948-a355e4f00aa5
Microsoft.OfficeModernCalendar,Application,2014-05-01T15:52:41Z,TRUE,98a3dc55-ede3-4a8e-8aec-6e72cfd1e6ba
Microsoft.DynamicsMarketing,Application,2014-05-01T15:52:41Z,TRUE,b3e093ce-dbf1-48df-8a7a-f155207d1af2
Office Change Management,Application,2014-05-01T15:52:41Z,TRUE,34cbf49c-5ab4-4db1-86b0-6d9c92c080bc
Microsoft Social Engagement,Application,2014-05-01T15:52:41Z,TRUE,f2b7c955-df3f-45dc-8199-5c63af630cc1
Microsoft Office Web Apps Service,Application,2014-05-01T15:52:41Z,TRUE,5ec1d34f-90c9-4e9b-8730-e08a8b0509e1
OfficeClientService,Application,2014-05-01T15:52:41Z,TRUE,ac119dd4-60e8-4248-8690-010c05a607e8
Windows Azure Service Management API,Application,2014-02-18T18:02:35Z,TRUE,7363f4ef-0aff-4c2e-8f8c-f7504dca7507
Office 365 Configure,Application,2014-02-18T18:02:35Z,TRUE,9cdfb331-1b76-43f5-853a-73b6ea2fd0b3
Skype for Business Online,Application,2013-07-13T15:24:15Z,TRUE,f6aaa56c-f349-49db-8fbe-d7b0af5be549
Office 365 SharePoint Online,Application,2013-07-13T15:24:15Z,TRUE,f5a02ac7-315f-46c9-8a1d-6779c50069a6
Microsoft Exchange Online Protection,Application,2013-07-13T15:24:15Z,TRUE,ec8fc835-e756-4202-89c2-033796ab06fb
Office 365 Exchange Online,Application,2013-07-13T15:24:15Z,TRUE,987db770-f1b9-4de7-861d-be43d3296dab
Microsoft.Azure.DataMarket,Application,2013-06-08T20:42:22Z,TRUE,70ceb460-b65f-45c2-8f18-ef05e490f958
Microsoft Office 365 Portal,Application,2013-06-08T20:42:22Z,TRUE,f5785247-8f04-49bf-8a4d-aec7eb5f79be
Microsoft.Azure.GraphStore,Application,2013-06-08T20:42:20Z,FALSE,7879bbcb-39a7-49d0-814d-328f33d24bb7
Azure Classic Portal,Application,2013-06-08T20:42:20Z,TRUE,71af3f8e-cd3f-4d74-8898-2d8b4e59c50b
Microsoft App Access Panel,Application,2013-06-08T20:42:20Z,TRUE,7160a3f9-60e9-4c4f-86a8-56e9e8daa3af
Windows Azure Active Directory,Application,2013-06-08T20:42:20Z,TRUE,1825546d-fa29-41d9-8c0c-6d391212dc0a
Microsoft.Azure.GraphExplorer,Application,2013-06-08T20:42:20Z,TRUE,e00d761a-b13c-4c27-80a5-4d18f7854f8d
