"EndUserQuarantinePermissions","ESNEnabled","QuarantinePolicyType","QuarantineRetentionDays","IncludeMessagesFromBlockedSenderAddress","Identity","Id","IsValid","ExchangeVersion","Name","DistinguishedName","ObjectCategory","ObjectClass","WhenChanged","WhenCreated","WhenChangedUTC","WhenCreatedUTC","ExchangeObjectId","OrganizationalUnitRoot","OrganizationId","Guid","OriginatingServer","ObjectState"
"[PermissionToBlockSender: False
PermissionToDelete: True
PermissionToDownload: True
PermissionToPreview: True
PermissionToRelease: True
PermissionToRequestRelease: False
PermissionToViewHeader: False
PermissionToAllowSender: True]","False","PolicyQuarantineTag","15","False","854jpt.onmicrosoft.com\DefaultFullAccessPolicy","854jpt.onmicrosoft.com\DefaultFullAccessPolicy","True","0.20 (15.0.0.0)","DefaultFullAccessPolicy","CN=DefaultFullAccessPolicy,CN=Quarantine Settings,CN=Transport Settings,CN=Configuration,CN=854jpt.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A011,DC=PROD,DC=OUTLOOK,DC=COM",,"msExchHostedContentFilterConfig",,,,,"00000000-0000-0000-0000-000000000000","NAMPR10A011.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/854jpt.onmicrosoft.com","NAMPR10A011.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/854jpt.onmicrosoft.com - NAMPR10A011.PROD.OUTLOOK.COM/ConfigurationUnits/854jpt.onmicrosoft.com/Configuration","00000000-0000-0000-0000-000000000000","","New"
"[PermissionToBlockSender: False
PermissionToDelete: False
PermissionToDownload: False
PermissionToPreview: False
PermissionToRelease: False
PermissionToRequestRelease: False
PermissionToViewHeader: False
PermissionToAllowSender: False]","False","PolicyQuarantineTag","15","False","854jpt.onmicrosoft.com\AdminOnlyAccessPolicy","854jpt.onmicrosoft.com\AdminOnlyAccessPolicy","True","0.20 (15.0.0.0)","AdminOnlyAccessPolicy","CN=AdminOnlyAccessPolicy,CN=Quarantine Settings,CN=Transport Settings,CN=Configuration,CN=854jpt.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A011,DC=PROD,DC=OUTLOOK,DC=COM",,"msExchHostedContentFilterConfig",,,,,"00000000-0000-0000-0000-000000000000","NAMPR10A011.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/854jpt.onmicrosoft.com","NAMPR10A011.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/854jpt.onmicrosoft.com - NAMPR10A011.PROD.OUTLOOK.COM/ConfigurationUnits/854jpt.onmicrosoft.com/Configuration","00000000-0000-0000-0000-000000000000","","New"
"[PermissionToBlockSender: False
PermissionToDelete: True
PermissionToDownload: True
PermissionToPreview: True
PermissionToRelease: True
PermissionToRequestRelease: False
PermissionToViewHeader: False
PermissionToAllowSender: True]","True","PolicyQuarantineTag","15","False","854jpt.onmicrosoft.com\DefaultFullAccessWithNotificationPolicy","854jpt.onmicrosoft.com\DefaultFullAccessWithNotificationPolicy","True","0.20 (15.0.0.0)","DefaultFullAccessWithNotificationPolicy","CN=DefaultFullAccessWithNotificationPolicy,CN=Quarantine Settings,CN=Transport Settings,CN=Configuration,CN=854jpt.onmicrosoft.com,CN=ConfigurationUnits,DC=NAMPR10A011,DC=PROD,DC=OUTLOOK,DC=COM",,"msExchHostedContentFilterConfig",,,,,"00000000-0000-0000-0000-000000000000","NAMPR10A011.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/854jpt.onmicrosoft.com","NAMPR10A011.PROD.OUTLOOK.COM/Microsoft Exchange Hosted Organizations/854jpt.onmicrosoft.com - NAMPR10A011.PROD.OUTLOOK.COM/ConfigurationUnits/854jpt.onmicrosoft.com/Configuration","00000000-0000-0000-0000-000000000000","","New"
